vanilla	editing	sample
53.58	95.00	SRR13686012
53.59	92.96	SRR13686012
53.93	93.53	SRR13686012
55.05	93.96	SRR13686013
54.91	93.01	SRR13686013
55.56	92.69	SRR13686013
14.22	21.41	SRR13686014
13.44	21.76	SRR13686014
13.74	21.44	SRR13686014
40.70	67.35	SRR13686015
38.69	63.58	SRR13686015
38.58	63.02	SRR13686015
60.24	101.23	SRR13686016
59.98	102.11	SRR13686016
60.59	102.44	SRR13686016
56.74	95.90	SRR13686017
57.08	94.12	SRR13686017
56.96	94.40	SRR13686017
41.92	73.15	SRR13686018
41.99	71.13	SRR13686018
42.48	72.67	SRR13686018
58.99	93.99	SRR13686019
59.58	97.53	SRR13686019
57.73	94.36	SRR13686019
53.51	90.47	SRR13686020
54.28	93.90	SRR13686020
54.89	91.62	SRR13686020
53.95	92.14	SRR13686030
53.80	92.35	SRR13686030
55.65	97.99	SRR13686030
83.04	134.74	SRR13686031
85.94	134.53	SRR13686031
		SRR13686031
		SRR13686032
		SRR13686032
		SRR13686032
		SRR13686033
		SRR13686033
		SRR13686033
		SRR13686034
		SRR13686034
		SRR13686034
		SRR13686035
		SRR13686035
		SRR13686035
		SRR13686036
		SRR13686036
		SRR13686036
		SRR13686037
		SRR13686037
		SRR13686037
		SRR13686038
		SRR13686038
		SRR13686038
		SRR18488106
		SRR18488106
		SRR18488106
		SRR18488107
		SRR18488107
		SRR18488107
		SRR18488108
		SRR18488108
		SRR18488108
		SRR18488109
		SRR18488109
		SRR18488109
		SRR18488110
		SRR18488110
		SRR18488110
		SRR18488111
		SRR18488111
		SRR18488111
		SRR18488112
		SRR18488112
		SRR18488112
		SRR18488113
		SRR18488113
		SRR18488113
		SRR18488114
		SRR18488114
		SRR18488114
		SRR18488115
		SRR18488115
		SRR18488115
